sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,72,細懸浮微粒,普通,0.9,0.39,10,26,33,20,12,13.8,1.2,0.4,293,2025/04/22 00:00:00,0.4,20.2,29,1,121.760056,25.129167,1
汐止,新北市,101,細懸浮微粒,對敏感族群不健康,0.5,0.57,0,18,48,30,21,32.8,11.1,0.4,268,2025/04/22 00:00:00,0.5,30.6,46,0,121.64081,25.06624,2
萬里,新北市,83,細懸浮微粒,普通,0.1,0.37,16,34,39,23,8,8.9,0.3,1.8,233,2025/04/22 00:00:00,0.3,24.2,41,0,121.689881,25.179667,3
新店,新北市,98,細懸浮微粒,普通,0.3,0.43,10,24,42,27,15,16.7,0.9,0.5,189,2025/04/22 00:00:00,0.4,29.6,45,0,121.537778,24.977222,4
土城,新北市,102,細懸浮微粒,對敏感族群不健康,0.3,0.35,6,19,44,35,12,14.8,2,0.2,93,2025/04/22 00:00:00,0.4,30.9,48,0,121.451861,24.982528,5
板橋,新北市,101,細懸浮微粒,對敏感族群不健康,1.2,0.8,2,25,59,34,30,34.9,4.1,0.7,241,2025/04/22 00:00:00,0.5,30.7,52,0,121.458667,25.012972,6
新莊,新北市,101,細懸浮微粒,對敏感族群不健康,0.9,0.51,8,21,39,31,16,16.5,0.4,1,261,2025/04/22 00:00:00,0.5,30.5,42,0,121.4325,25.037972,7
菜寮,新北市,117,細懸浮微粒,對敏感族群不健康,0.6,0.92,3,21,55,43,33,53.7,19.8,0.8,231,2025/04/22 00:00:00,0.7,36.9,55,0,121.481028,25.06895,8
林口,新北市,86,細懸浮微粒,普通,1.4,0.37,10,25,37,23,23,28.1,4.4,0.2,49,2025/04/22 00:00:00,0.3,25.4,38,1,121.36548982,25.07798949,9
淡水,新北市,104,細懸浮微粒,對敏感族群不健康,0.3,0.71,3,29,53,35,27,29.4,2.2,,,2025/04/22 00:00:00,0.4,31.8,48,0,121.449239,25.1645,10
士林,臺北市,95,細懸浮微粒,普通,0.3,0.52,5,24,44,28,19,21.5,2.4,0.6,45,2025/04/22 00:00:00,0.4,28.6,45,1,121.51666356,25.10334003,11
