sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,43,,良好,0.5,0.21,12,26,28,9,9,10.7,1.6,0.7,83,2025-04-21 23:00,,0.1,8.5,26,0,120.651472,22.260899,313
臺南（南化）,臺南市,45,,良好,0,0.14,5,23,15,8,2,3.2,0.4,2.4,219,2025-04-21 23:00,,0.1,11.2,18,0,120.44583156,23.04562013,312
新北（樹林）,新北市,101,細懸浮微粒,對敏感族群不健康,0.3,0.5,8,31,50,32,18,27.4,8.4,0,42,2025-04-21 23:00,,0.4,30.6,49,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,60,細懸浮微粒,普通,0.2,0.27,12,34,25,14,7,8.7,1.4,0.2,56,2025-04-21 23:00,,0.2,15.7,26,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,60,懸浮微粒,普通,0.4,0.13,21,25,37,13,2,2.9,0.4,2.1,317,2025-04-21 23:00,,0.1,14.4,39,0,120.37722,22.35222,204
高雄（湖內）,高雄市,22,,良好,1.1,0.14,17,19,14,7,3,4.8,1.2,0.3,266,2025-04-21 23:00,,0.1,5.5,13,,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,40,,良好,0.6,0.24,27,43,17,11,8,8.8,0,1.2,266,2025-04-21 23:00,,0.2,10,21,0,121.82463916,24.85366672,201
員林,彰化縣,62,細懸浮微粒,普通,0.9,0.24,13,23,22,17,5,7.4,1.6,2.9,189,2025-04-21 23:00,,0.2,16.7,29,1,120.5631893,23.9615945,139
大城,彰化縣,48,,良好,1.2,0.12,17,22,22,14,2,6.2,3.6,0.5,183,2025-04-21 23:00,,0.1,11.9,20,1,120.26964167,23.85493056,85
富貴角,新北市,80,細懸浮微粒,普通,0.2,0.21,29,52,32,20,3,3.3,0.1,1.7,149,2025-04-21 23:00,,0.2,23,37,0,121.53656894,25.29681695,84
